hotel_name;region;ratings;price;start_date;end_date
켄싱턴리조트 서귀포;서귀포;7.4;215260;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
코쿤 호텔;애월읍, 제주;9.2;102000;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
타마라 제주 호텔;서귀포시, 서귀포;8.2;33803;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
라마다 제주시티호텔;제주 시내, 제주;8.0;84070;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
그랜드 하얏트 제주;제주 시내, 제주;8.9;398000;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
롯데시티호텔 제주;제주 시내, 제주;8.4;146300;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
글로스터 호텔 제주;제주 시내, 제주;8.2;94050;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
신신호텔 천지연;서귀포시, 서귀포;7.7;32779;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
골드원 호텔&스위트;서귀포시, 서귀포;8.4;269000;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
오션스위츠 제주 호텔;제주 시내, 제주;7.9;105000;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
호텔 케니 서귀포;서귀포시, 서귀포;8.1;35570;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
휘닉스 제주 섭지코지;성산읍, 서귀포;7.6;360000;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
신신호텔 제주월드컵;서귀포시, 서귀포;7.6;36630;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
호텔난타 제주;제주;8.5;77400;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
엘린 호텔;제주 시내, 제주;8.5;55000;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
호텔 시리우스;제주 시내, 제주;8.2;99124;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
더 그랜드 섬오름;서귀포시, 서귀포;8.4;186840;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
제주 아이브 호텔 앤 리조트;서귀포;8.0;46440;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
벨룸리조트;서귀포;8.9;302720;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
WE호텔 제주;서귀포;8.5;263170;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
티라 호텔;성산읍, 서귀포;8.6;123582;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
아이진 호텔;제주 시내, 제주;8.2;56966;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
메종 글래드 제주;제주 시내, 제주;7.9;156750;2023-07-22 12:28:54.648893;2023-07-23 12:28:54.648893
