Day,Weather,Low Temperature,High Temperature
2023-08-01 00:00:00,흐리고 비,24,31
2023-08-02 00:00:00,흐리고 소나기 내림,24,29
2023-08-03 00:00:00,흐리고 비와 뇌우 내림,24,30
2023-08-04 00:00:00,흐리고 일부 지역 뇌우 내림,24,29
2023-08-05 00:00:00,흐리고 소나기나 뇌우 내림,26,30
2023-08-06 00:00:00,흐리고 오후 중 소나기 내림,25,31
2023-08-07 00:00:00,대체로 흐림,24,30
2023-08-08 00:00:00,약간 흐림,25,31
2023-08-09 00:00:00,흐리고 소나기나 뇌우 내림,26,30
2023-08-10 00:00:00,대체로 흐림,26,30
2023-08-11 00:00:00,흐리고 바람이 많음,25,31
2023-08-12 00:00:00,흐리고 습함 소나기와 뇌우 내림,26,30
2023-08-13 00:00:00,흐리고 소나기와 뇌우 내림,25,29
2023-08-14 00:00:00,흐리고 뇌우가 내림,25,29
2023-08-15 00:00:00,흐리고 소나기나 뇌우,25,29
2023-08-16 00:00:00,대체로 맑음,25,30
2023-08-17 00:00:00,약간 흐림,24,30
2023-08-18 00:00:00,흐리고 소나기와 뇌우 내림,25,30
2023-08-19 00:00:00,흐리고 소나기와 뇌우 내림,25,30
2023-08-20 00:00:00,맑고 바람이 많음,24,30
2023-08-21 00:00:00,흐리고 바람 많음,24,31
2023-08-22 00:00:00,흐리고 바람 소나기 내림,21,30
2023-08-23 00:00:00,맑고 강풍,21,30
2023-08-24 00:00:00,맑음,22,28
2023-08-25 00:00:00,약간 흐림,22,28
2023-08-26 00:00:00,약간 흐림,22,28
2023-08-27 00:00:00,맑음,22,28
2023-08-28 00:00:00,맑음,21,28
2023-08-29 00:00:00,맑음,22,28
2023-08-30 00:00:00,흐리고 습함,23,28
2023-08-31 00:00:00,흐리고 습하며 소나기 내림,23,28
